equation,answer
"\begin{cases} x_1\prime = 4x_1-3x_2 \\ x_2\prime =6 x_1 - 7x_2 \\  \end{cases},  \; x_1(0) = 1, \; x_2(0) = -1",\begin{cases} x_1(t) = -\frac{5}{7}  e^{-5t} +\frac{12}{7}e^{2t} \\ x_2(t) = -\frac{15}{7}  e^{-5t} +\frac{8}{7}e^{2t} \\  \end{cases}
"y\prime\prime-y=0, \; \; y(0)=2,y(4)=1",y = \frac{2-e^4}{1-e^8}e^x + \left(2- \frac{2-e^4}{1-e^8} \right)e^{-x}
"y\prime\prime+y = 0, \; \; y(0)=0,y(\pi)=0",y= C_2 \sin x
"y\prime\prime+4y =t  \; , \; \; y(0)=y(2)=0",y = \sum_{n=1}^{\infty} \frac{-\frac{4}{n\pi} (-1)^n}{-\frac{n^2\pi^2}{4}+4} \sin \frac{2n\pi}{2} t
"$$\frac{\partial u}{\partial t}(x,t) = 3 \frac{\partial^2 u}{\partial x^2}(x,t)\; , \; \; 0<x<L, t>0$$ $$u(0,t)=u(2,t)=0 \; , \; \; t>0$$
$$u(x,0)=4  \; , \; \; 0<x<L$$ ","u(x,t) = \sum_{n=1}^{\infty} c_n \sin \left(\frac{n\pi}{2} x \right) e^{-\frac{3n^2 \pi^2}{4} t}"
"$$u_t(x,t) = 7 u_{xx}(x,t)\; , \; \; 0<x<L, t>0$$
$$u(x,0)=-x+6  \; , \; \; 0<x<L$$
$$u_x(0,t)=u_x(8,t)=0 \; , \; \; t>0$$","u(x,t) = 2 + \sum_{n=1}^{\infty} \frac{16}{n^2 \pi^2} \left( 1-  (-1)^n \right)  \cos \left( \frac{n \pi}{8} x \right) e^{-\frac{7n^2 \pi^2}{64} t}"
"$$\frac{\partial u}{\partial t}(x,t) = 0.2 \frac{\partial^2 u}{\partial x^2}(x,t)\; , \; \; 0<x<L, t>0$$
$$u(0,t)=u(3,t)=0 \; , \; \; t>0$$
$$u(x,0)=\cos(6\pi x) - \cos(2\pi x) + 7  \; , \; \; 0<x<L$$","u(x,t) = 7 - \cos \left( 2\pi x \right) e^{-0.8 \pi^2 t}+\cos \left( 6\pi x \right) e^{-7.2\pi^2 t}"
"$$ y_{tt} = 9 y_{xx} \; \; \; \;,  \; (0<x<4, \; t>0) $$
        $$ y(0,t) = y(4,t)=0, \; \; \; \;,  \; ( t>0) $$
        $$ y(x,0) = 4 - |2-x| \; \; \; \;,  \; (0<x<4) $$
        $$ y_t (x,0) = 0 \; \; \; \;,  \; (0<x<4) $$
        ","\begin{align*}
y(x,t) &= \sum_{n=1}^{\infty} A_n \sin\frac{n\pi x}{4} \cos \frac{3n\pi t}{4} \\
&= \sum_{m=0}^{\infty}  \left( \frac{16}{(2m+1)^2\pi^2} (-1)^m + \frac{8}{(2m+1)\pi}  \right) \sin \frac{(2m+1)\pi x }{4}  \cos \frac{3(2m+1)\pi t}{4}\\
\end{align*}"
"y\prime\prime+8y\prime+25y = 13 e^{-2t}  \; , \; \;  y(0)=-1, y\prime(0)=18 ",y(t)= \mathscr{L}^{-1} \left\{ \frac{1}{s+2}\right\} - 2\mathscr{L}^{-1} \left\{ \frac{(s+4)}{(s+4)^2 + 3^2} \right\}+4 \mathscr{L}^{-1} \left\{ \frac{3}{(s+4)^2 + 3^2} \right\} = e^{-2t} -2 e^{-4t}\cos 3t+ 4e^{-4t}\sin 3t
"y\prime\prime - 3y\prime +2y = 6 \sin 2t  \; , \; \; y(0)=1, y\prime(0)=0",y(t) = \frac{9}{10} \cos 2t -\frac{3}{10}\sin 2t + \frac{1}{2} e^{2t} -\frac{2}{5} e^t 
"y\prime\prime+4y\prime+13y =0  \; , \; \; y(0)=0, y\prime(0)=2 ",y(t)=  \frac{2}{3} e^{-2t} \sin{3t}
"y\prime\prime+4y\prime+13y = e^{2t}  \; , \; \; y(0)=0, y\prime(0)=2 ",y(t)=\frac{46}{75}  e^{-2t} \sin{3t} - \frac{1}{25} e^{-2t} \cos{3t}  + \frac{1}{25} e^{2t} 
"y\prime\prime + 5y\prime +4y = 17 \cos t  \; , \; \;  y(0)=-1, y\prime(0)=2 ",y(t)=-\frac{1}{2} \cos{t} + \frac{5}{2}\sin{t}  + e^{-4t} - \frac{7}{2} e^{-t}
y\prime=e^{-y}sin(x); \; y(0)=0,y=\ln{2-cos(x)}
d x+x d y=0,y={\frac{C}{x}}
y^{\prime}=\mathrm{tg}{\frac{y}{x}}+{\frac{y}{x}},y=x\arcsin(C x)
x y^{\prime}=y+{\sqrt{4x^{2}-y^{2}}},\arcsin{\frac{y}{2x}}=\ln\left|x\right|+\ln C
x^{2}y^{\prime}={\frac{1}{\cos y}},"y(x)=\sin^{-1}\left({\frac{c_{1}\,x-1}{x}}\right)"
"\mathrm{tg}\,x\cdot y^{\prime}={\sqrt{y^{2}+3}}",y(x)={\sqrt{3}}\ \sinh(c_{1}+\log(\sin(x)))
{\sqrt{y}}d x+{\frac{d y}{\ln x}}=0,y=x^{2}\log^{2}(x)
{\sqrt{y}}d x+{\frac{d y}{\ln x}}=1,y=0
y^{\prime}=\cos^{2}{\frac{y}{x}}+{\frac{y}{x}},y(x)=x\tan^{-1}(c_{1}+\log(x))
e^{3x}y^{\prime}=y^{2}-3,y(x)={\frac{{\sqrt{3}}\left(e^{(2e^{-3x})/{\sqrt{3}}}\ -e^{2{\sqrt{3}}\ c_{1}}\right)}{e^{2{\sqrt{3}}\cdot{\sqrt{3}}}\cdot{\mathrm{~}}e^{(2e^{-3x})/{\sqrt{3}}}}}
(x^{2}+4)y^{\prime}=\operatorname{tg}y,y(x)=\sin^{-1}\!\left[e^{i x_{1}+i2\pi\alpha_{1}^{-1}(x/2)}\right]
(y^{2}-4)dx+\sqrt{3-x^{2}}\cdot ydy=0,y(x)=-{\sqrt{e^{c_{1}-2\sin^{-1}(x/{\sqrt{3}})_{+4}}}}
y^{\prime}={\frac{y+x}{y-x}},y(x)=x-\sqrt{c_{1}+2x^{2}}
y^{\prime}={\frac{y+x}{y-x}},y(x)=\sqrt{c_{1}+2x^{2}}+x
xy^{\prime}=y+{\sqrt{x^{2}+3y^{2}}},y(x)={\frac{x\sinh({\sqrt{3}}\;c_{1}+{\sqrt{3}}\;\log(x))}{\sqrt{3}}}
xy^{\prime}+y={\frac{1}{x^{10}}},y={\frac{1}{x}}\cdot\left(-{\frac{1}{9x^{9}}}+C\right)
(2x+y^{2})y^{\prime}=y,x=y^{2}(\ln y + C)
xy^{\prime}-y=x^{5},y(x)=c_{1}x+{\frac{x^{5}}{4}}
xy^{\prime}-2y=\ln x,"y(x)=c_{1}\,x^{2}-{\frac{\log(x)}{2}}-{\frac{1}{4}}"
y^{\prime}+y\operatorname{tg}x={\frac{1}{\cos x}},y(x)=c_{1}\cos(x)+\sin(x)
y^{\prime}-y={\frac{e^{x}}{x^{2}}},"y(x)=c_{1}\,e^{x}-{\frac{e^{x}}{x}}"
\left(x^{2}+1\right)y^{\prime}-2x y=3(x^{2}+1)^{4},"y(x)=c_{1}\left(x^{2}+1\right)+\left(x^{2}+1\right)\left({\frac{3\,x^{5}}{5}}+2\,x^{3}+3\,x\right)"
y^{\prime}+{\frac{2y}{x}}={\frac{x}{y^{2}}}; \; y(1)=2,y={\frac{1}{2}}\cdot{\frac{\sqrt{3x^{2}+61}}{x^{6}}}
y^{\prime}+{\frac{y}{x}}={\frac{1}{3}}x^{2}y^{4},"y(x)={\frac{1}{({c_{1}\,x^{3}-x^{3}\log(x)})^{1/3}}}"
2y^{\prime}-\frac{y}{x}=\frac{4x^{2}}{y},y(x)=-{\sqrt{x}}\;{\sqrt{c_{1}+2x^{2}}}
(1+x^{2})y^{\prime}=2x y+x^{2}y^{2},y(x)=-{\frac{3\left(x^{2}+1\right)}{c_{1}+x^{3}}}
y^{\prime}-2y=-y^{3}; \; y(0)=1,y(x)={\frac{\sqrt{2}\;e^{2x}}{\sqrt{e^{4x}+1}}}
xy^{\prime}+2y=xy^{4},y(x)={\frac{5^{1/3}}{({c_{1}x^{6}+3x})^{1/3}}}
xy^{\prime}-2y={\frac{x}{y}},"y(x)=-{\frac{\sqrt{x}\;{\sqrt{c_{1}\,x^{3}-2}}}{\sqrt{3}}}"
xy^{\prime}-2y={\frac{x}{y}},"y(x)={\frac{\sqrt{x}\;{\sqrt{c_{1}\,x^{3}-2}}}{\sqrt{3}}}"
y^{\prime}-{\frac{y}{2x}}=3y^{4},"y(x)={\frac{{\sqrt{5}}\;{\sqrt{x}}}{{\sqrt{c_{1}-18}}\,x^{5/2}}}"
y^{\prime}-{\frac{y}{x}}={\frac{x^{2}}{y^{3}}},y(x)=-x^{3/4}{\overset{4}{\sqrt{c_{1}x-4}}} 
y^{\prime}-{\frac{y}{x}}={\frac{x^{2}}{y^{3}}},y(x)=x^{3/4}{\overset{4}{\sqrt{c_{1}x-4}}}
y^{\prime}+{\frac{3y}{x}}=5x^{3}y^{2},y(x)=-{\frac{1}{x^{3}(c_{1}+5x)}}
y^{\prime}+2y=3y^{2}e^{x},"y(x)={\frac{e^{-x}}{c_{1}\,e^{x}+3}}"
y^{\prime\prime\prime}=x+\sin2x,y={\frac{1}{24}}x^{4}+{\frac{1}{8}}\cos2x+C_{1}x^{2}+C_{2}x+C_{3}
xy^{\prime\prime}-2y^{\prime}=x^{2},y={\frac{1}{3}}x^{3}\ln|x|-{\frac{1}{9}}x^{3}+C_{1}x^{3}+C_{2}
yy^{\prime\prime}-(y^{\prime})^{2}+y(y^{\prime})^{3}=0,{\frac{1}{2}}y^{2}+C_{1}\ln|y|=2x+C_{2}
y^{\prime\prime\prime}=x^{2}+\cos3x+2,"y(x)=c_{3}\,x^{2}+c_{2}\,x+c_{1}+{\frac{x^{5}}{60}}+{\frac{1}{24}}\,x^{4}\cos(3)+{\frac{x^{3}}{3}}"
y^{\prime\prime}-\frac{1}{x}y^{\prime}=x^{2},"y(x)=c_{1}\,x^{2}+c_{2}+{\frac{x^{4}}{8}}"
y^{2}+(y^{\prime})^{2}-2y y^{\prime\prime}=0,y(x)=c_{2}\;e^{-x}\left(c_{1}+e^{x}\right)^{2}
2yy^{\prime\prime}+(y^{\prime})^{2}=0,"y(x)=c_{2}\left(c_{1}+3\,x\right)^{2/3}"
y^{\prime\prime}=\left(y^{\prime}\right)^{2},y(x)=c_{2}-\log(c_{1}+x)
x^{3}y^{(1\mathrm{V})}=4-x\qquad,"y(x)=c_{4}\,x^{3}+c_{3}\,x^{2}+c_{2}\,x+c_{1}+{\frac{1}{2}}\,x^{2}\log(x)+2\,x\log(x)"
xy^{\prime\prime}=y^{\prime}+x\sin{\frac{y^{\prime}}{x}},"y(x)=x^{2}\cot^{-1}\!\left({\frac{e^{-x_{1}}}{x}}\right)-e^{-2\epsilon_{1}}\left(e^{\epsilon_{1}}\,x+\tan^{-1}\!\left({\frac{e^{-x_{1}}}{x}}\right)\right)+c_{2}"
xy^{\prime\prime}=y^{\prime}+x\left(y^{\prime}\right)^{2}+x^{3},y(x)=c_{2}-\log {(\cos {(c_1+\frac{x^2}{2})})}
yy^{\prime\prime}=1+\left(y^{\prime}\right)^{2},y(x)={\frac{e^{-c_{1}}\operatorname{tanh}(e^{c_{1}}\left(c_{2}+x\right))}{\sqrt{\operatorname{tanh}^{2}(e^{c_{1}}\left(c_{2}+x\right))-1}}}
yy^{\prime\prime}=1+\left(y^{\prime}\right)^{2},y(x)=-{\frac{e^{-c_{1}}\operatorname{tanh}(e^{c_{1}}\left(c_{2}+x\right))}{\sqrt{\operatorname{tanh}^{2}(e^{c_{1}}\left(c_{2}+x\right))-1}}}
yy^{\prime\prime}+(y^{\prime})^{2}=5,"y(x)=-{\frac{\sqrt{50c_{2}\,x+25\,c_{2}^{2}-c_{1}+25\,x^{2}}}{\sqrt{5}}}"
yy^{\prime\prime}+(y^{\prime})^{2}=6,"y(x)={\frac{\sqrt{50c_{2}\,x+25\,c_{2}^{2}-c_{1}+25\,x^{2}}}{\sqrt{5}}}"
(1+x^{2})y^{\prime\prime}-2x y^{\prime}=2(1+x^{2})^{2},"y(x)={\frac{c_{1}\,x^{3}}{3}}+c_{1}\,x+c_{2}+{\frac{x^{4}}{2}}+x^{2}"
yy^{\prime\prime}-\left(y^{\prime}\right)^{2}=y^{4},y(x)=-{\sqrt{c_{1}}}\;{\sqrt{\operatorname{tanh}^{2}({\sqrt{c_{1}}}\;x+{\sqrt{c_{1}}}\;c_{2})-1}}
yy^{\prime\prime}-\left(y^{\prime}\right)^{2}=y^{4},y(x)={\sqrt{c_{1}}}\;{\sqrt{\operatorname{tanh}^{2}({\sqrt{c_{1}}}\;x+{\sqrt{c_{1}}}\;c_{2})-1}}
y=x(y^{\prime}-x\cos x),"y(x)=c_{1}\,x+x\,\mathrm{sin}(x)"
y^{\prime\prime}={\frac{1}{x^{2}}}+e^{3x},"y(x)=c_{2}\,x+c_{1}+{\frac{e^{3\,x}}{9}}-\log(x)"
2xy^{\prime}y^{\prime\prime}=\left(y^{\prime}\right)^{2},y(x)=c_{1}
2xy^{\prime}y^{\prime\prime}=\left(y^{\prime}\right)^{2},"y(x)=c_{1}\,x^{3/2}+c_{2}"
2yy^{\prime\prime}=y^{2}+\left(y^{\prime}\right)^{2},y(x)=c_{2}\;e^{-x}\left(c_{1}+e^{x}\right)^{2}
yy^{\prime\prime}=y y^{\prime}+\left(y^{\prime}\right)^{2},y(x)=c_{2}\;e^{c_1\ e^x}
xy^{\prime\prime\prime}-y^{\prime\prime}=0,"y(x)=c_{1}\,x^{3}+c_{3}\,x+c_{2}"
2y^{\prime\prime}-3y^{\prime}+y=0,y=C_{1}e^{x}+C_{2}e^{x/2}
y^{\prime\prime}+6y^{\prime}+9y=0,y=\left(C_{1}+C_{2}x\right)e^{-3x}
y^{\prime\prime}-6y^{\prime}+25y=0,y=e^{3x}\left(C_{1}\cos4x+C_{2}\sin4x\right)
2y^{\prime\prime}+7y^{\prime}+5y=0,y(x)=c_{1}\;e^{-(5 x)/2}+c_{2}\;e^{-x}
4y^{\prime\prime}+12y^{\prime}+9y=0,y(x)=c_{1}\;e^{-(3\cdot x)/2}+c_{2}\;e^{-(3\cdot x)/2}\;x
y^{\prime\prime}+25y=0,y(x)=c_{2}\sin(5x)+c_{1}\cos(5x)
y^{\prime\prime}+25y^{\prime}=0,y(x)=c_{1}\;e^{-25 x}+c_{2}
y^{\prime\prime}+4y^{\prime}+29y=0,y(x)=c_{1}\;e^{-2x}\sin(5\;x)+c_{2}\;e^{-2x}\cos(5\;x)
y^{\prime\prime}+2y^{\prime}=(3x+1)e^{x},y=(x-1)e^x+C_1+C_2e^{-2x}
"y^{\prime\prime}-4y^{\prime}+4y=10e^{2x}, \, y(0)=3, \ ,y^{\prime}(0)=7",y=(5x^{2}+x+3)e^{2x}
2y^{\prime\prime}+3y^{\prime}-5y=10,y(x)=c_{1}\;e^{-(5x)/2}+c_{2}\;e^{x}-2
y^{\prime\prime}+3y^{\prime}-4y=(10x+17)e^{x},"y(x)=c_{1}\,e^{-4x}+c_{2}\,e^{x}+e^{x}\,x^{2}+3\,e^{x}\,x"
y^{\prime\prime}-5y^{\prime}+6y=4e^{-x},"y(x)=c_{1}\,e^{2x}+c_{2}\,e^{3x}+{\frac{e^{-x}}{3}}"
y^{\prime\prime}-5y^{\prime}-6y=3e^{-x},"y(x)=c_{1}\,e^{-x}+c_{2}\,e^{6\,x}-{\frac{3}{7}}\,e^{-x}\,x"
y^{\prime\prime}-2y^{\prime}-8y=x^{2}+3,y(x)=c_{1}\;e^{-2x}+c_{2}\;e^{4x}-{\frac{x^{2}}{8}}+{\frac{x}{16}}-{\frac{27}{64}}
y^{\prime\prime}-6y^{\prime}-8y=3e^{3x},y(x)=c_{1}\;e^{(3-{{\sqrt{17}})\;x}}+c_{2}\;e^{(3+{\sqrt{17}})\;x}-{\frac{3\;e^{3x}}{17}}
y^{\prime\prime}-4y^{\prime}=0,y(x)=c_{1}\;e^{4x}+c_{2}
y^{\prime\prime}-4y=0,"y(x)=c_{1}\,e^{2x}+c_{2}\,e^{-2x}"
2y^{\prime\prime}-y^{\prime}-y=0,y(x)=c_{1}\;e^{-x/2}+c_{2}\;e^{x}
3y^{\prime\prime}+y^{\prime}+2y=0,y(x)=c_{1}\;e^{-x/6}\;\mathrm{sin}\!\left({\frac{{\sqrt{23}}\;x}{6}}\right)+c_{2}\;e^{-x/6}\;\mathrm{cos}\!\left({\frac{{\sqrt{23}}\;x}{6}}\right)
y^{\prime\prime}-8y^{\prime}+16y=4,y(x)=c_{1}\;e^{4 x}+c_{2}\;e^{4 x}x+{\frac{1}{4}}
y^{\prime\prime}-10y^{\prime}+26y=x^{2},"y(x)=c_{1}\,e^{5\,x}\sin(x)+c_{2}\,e^{5\,x}\cos(x)+{\frac{x^{2}}{26}}+{\frac{5\,x}{169}}+{\frac{37}{4394}}"
y^{\prime\prime}+y^{\prime}=xe^{x},"y(x)=c_{1}\,e^{-x}+c_{2}+{\frac{e^{x}\,x}{2}}-{\frac{3\,e^{x}}{4}}"
y^{\prime\prime}+3y^{\prime}+2y=(x-2)e^{-x},"y(x)=c_{1}\;e^{-2x}+c_{2}\;e^{-x}+{\frac{1}{2}}\;e^{-x}\,x^{2}-3\,e^{-x}\,x"
y^{\prime\prime}+4y=7\sin{2x},y=-\frac{7}{4}x\cos2x+C_{1}\cos2x+C_{2}\sin2x
y^{\prime\prime}-y^{\prime}=3\sin{5x},"y(x)=c_{1}\;e^{x}+c_{2}-{\frac{3}{26}}\sin(5\,x)+{\frac{3}{130}}\cos(5\,x)"
y^{\prime\prime}+81y=5\cos{9x},y(x)=c_{2}\sin(9x)+c_{1}\cos(9x)+{\frac{5}{18}}x\sin(9x)
y^{\prime\prime}+2y^{\prime}+y=e^{x}\cos x,"y(x)=c_{1}\;e^{-x}+c_{2}\;e^{-x}\,x+{\frac{4}{25}}\,e^{x}\,\mathrm{sin}(x)+{\frac{3}{25}}\,e^{x}\cos(x)"
y^{\prime\prime}-3y^{\prime}=x\sin{2x},"y(x)=c_{1}\,e^{3\,x}+c_{2}-{\frac{1}{13}}\,x\,\sin(2\,x)-{\frac{63}{676}}\,\sin(2\,x)+{\frac{3}{26}}\,x\,\cos(2\,x)-{\frac{4}{169}}\,\cos(2\,x)"
y^{\prime\prime}+9y=2\cos x+3\sin{3x},"y(x)=c_{2}\sin(3x)+c_{1}\cos(3x)+\frac{1}{2}\,x\cos(x)-x\cos(2x)\cos(x)+\displaystyle\frac{1}{3}\cos(2x)\cos(x)+\displaystyle\frac{\cos(x)}{12}"
y^{\prime\prime}+y=\sin{4x},"y(x)=c_{2}\sin(x)+c_{1}\cos(x)-{\frac{1}{15}}\sin(4\,x)"
y^{\prime\prime}+2y^{\prime}+2y=3\cos x,"y(x)=c_{1}\,e^{-x}\sin(x)+c_{2}\,e^{-x}\cos(x)+{\frac{6\sin(x)}{5}}+{\frac{3\cos(x)}{5}}"
y^{\prime\prime}-2y^{\prime}+5y=3e^{x}\cos{2x},"y(x)=c_{1}\;e^{x}\sin(2\,x)+c_{2}\;e^{x}\cos(2\,x)+{\frac{3}{4}}\;e^{x}\,x\,\sin(2\,x)"
y^{\prime\prime}+y=2\sin x+e^{-x},y(x)=c_{2}\sin(x)+c_{1}\cos(x)+{\frac{e^{-x}}{2}}-x\cos(x)
y^{\prime}={\frac{x+y+1}{x-y-3}},\operatorname{arctg}{\frac{y+2}{x-1}}-{\frac{1}{2}}\ln\left(1+\left({\frac{y+2}{x-1}}\right)^{2}\right)=\ln\left|x-1\right|+C
y^{\prime}={\frac{x+y-2}{2x-y-1}},"6\,{\sqrt{3}}\,\tan^{-1}\left({\frac{{\sqrt{3}}\,\left(y(x)-1\right)}{-{y(x)+2\,x-1}}}\right)=c_{1}+3\left[\log\left({\frac{{\sqrt{3}}+y(x)^{2}-(x+1)\,y(x)-x+1}{3\,(x-1)^{2}}}\right)+2\log(x-1)\right]"
y^{\prime}=2\left({\frac{y+3}{x+y}}\right)^{2},\log(y(x)+3)+2\tan^{-1}\left({\frac{3-x}{y(x)+3}}\right)=c_{1}
(y-1+{\sqrt{x y-x+y-1}})dx=(x+1)dy ,"y(x)={\frac{1}{4}}\left(c_{1}^{2}\,x-2\,c_{1}\,x\log(x+1)-2\,c_{1}\log(x+1)+c_{1}^{2}+(x+1)\log^{2}(x+1)+4\right)"
2xydx+(x^{2}+3y^{2})dy=0,x^{2}y+y^{3}=C
3y(x+1)dx+x(3x+4)dy=0,\frac{3}{4}x^{4}y^{4}+x^{3}y^{4}=C
(2-3xy)xdx+(7-x^3)dy=0,y(x)={\frac{c_{1}}{x^{3}-7}}+{\frac{x^{2}}{x^{3}-7}}
"y(1+x y)dx-x\,dy=0",y(x)=-{\frac{2X}{c_{1}+x^{2}}}
"y^{2}\,dx+(x y-\tan(xy))\,dy=0",{\frac{\sin(x)(x))}{y(x)}}=c_{1}
y=xy^{\prime}+3\left(y^{\prime}\right)^{4},y=-(\frac{9x^4}{256})^{\frac{1}{3}}
x^{2}y^{\prime\prime}=2y+3x^{2},y=C_{1}x^{2}+C_{2}x^{-1}+x^{2}\ln x
xyy^{\prime\prime}+x\left(y^{\prime}\right)^{2}=3,"y(x)={\sqrt{c_{2}\,x+c_{1}+6\,x\log(x)}}"
xyy^{\prime\prime}+x\left(y^{\prime}\right)^{2}=4,"y(x)={-\sqrt{c_{2}\,x+c_{1}+6\,x\log(x)}}"
x^{2}y^{\prime\prime}=2y,"y(x)=c_{2}\,x^{2}+{\frac{c_{1}}{x}}"
yy^{\prime}=2x(y^{\prime})^{2}-3xyy^{\prime\prime},y(x)=c_{2}(c_{1}+x^{2/3})^{3}
x^{2}yy^{\prime\prime}=x^{2}(y^{\prime})^{2}+2y^{2},"y(x)={\frac{c_{2}\,e^{c_{1}x}}{x^{2}}}"
\frac{d y}{d x}}={\frac{1}{x},y=\ln\mid x\mid-\d1\mid x_{0}\mid+y_{0}=\ln\frac{x}{x_{0}}+y_{0}
\left({\frac{d y}{d x}}\right)^{2}-x,"y=+{\frac{2}{3}}\,x^{\frac{3}{2}}+C"
\left({\frac{d y}{d x}}\right)^{2}-x,"y=-{\frac{2}{3}}\,x^{\frac{3}{2}}\,+C"
{\frac{d y}{d x}}=y^{2},y={\frac{1}{{\frac{1}{y_{0}}}-x+x_{0}}}
{\frac{d y}{d x}}=y^{2},y=0
"x\,{\sqrt{1+y^{2}}}+y\,{\sqrt{1+x^{2}}}\,{\frac{d y}{d x}}=0, \ x=0,\,y=1",\sqrt{1+x^2}+\sqrt{1+y^2}=\sqrt{2}+1
"\sec^{2}x\operatorname{tg}y\,d x+\sec^{2}y\operatorname{tg}x\,d y=0",\tan x \tan y = C
{\sqrt{1-x^{2}}}\ d y\ +\ {\sqrt{{1-y^{2}}}}\ d x=0,\arcsin x+\arcsin y=C
\frac{d y}{d x}=\frac{2x y}{x^{2}-y^{2}},x^{2}+ y^{2}= C y
9y{\frac{d y}{d x}}-18x y+4x^{3}=0,{\frac{(3y-2x^{2})^{2}}{3y-x^{i}}}=C
{\frac{d y}{d x}}={\frac{2xy}{x^{2}+y^{2}}},x^{2}- y^{2}= C y
{\frac{d y}{d x}}={\frac{y}{x}}\left(1+\ln y-\ln x\right),y=xe^{Cx}
y^{2}+x^{2}{\frac{d y}{d x}}=x y{\frac{d y}{d x}},e^{\frac{y}{x}}=Cy
